Annotation	baseMean.CX	log2FoldChange.CX	lfcSE.CX	stat.CX	pvalue.CX	padj.CX	baseMean.QJ	log2FoldChange.QJ	lfcSE.QJ	stat.QJ	pvalue.QJ	padj.QJ	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Annotation2	q0.2	direction
Acholeplasma_oculi	12.5070641946567	-0.351000567975851	1.11697751903715	-0.314241389816348	0.753337709122079		36.42231767	-0.837209648	0.483092644	-1.733020897	0.083091955		50.81371028	-0.850630924	0.669463503	-1.27061583	0.203865353	0.914299114	Acholeplasma_oculi		
Acholeplasma_palmae	36.0553689203837	-0.735074181105832	0.697685079595092	-1.05359022659971	0.292070565703362		37.89547096	-0.668940937	0.479814073	-1.39416698	0.163267187		30.16367389	0.422564325	0.403665339	1.046818452	0.295183319	0.984639623	Acholeplasma_palmae		
Achromobacter_denitrificans	200.189960839367	-0.149686874976798	0.266030860263208	-0.562667334266029	0.573661431740321	0.90350446575725	250.3320509	0.29638816	0.185760904	1.595535731	0.110592486	0.349901312	100.3836227	0.198463951	0.196458676	1.01020711	0.312396074	0.99063292	Achromobacter_denitrificans		
Achromobacter_insolitus	76.5940104960277	-0.0823767772290896	0.425606911185757	-0.193551314755639	0.846527222376816	0.977082907911624	60.4749262	0.736955756	0.317070091	2.324267655	0.020111153	0.118168639	13.52410611	-0.591661568	0.765798429	-0.772607446	0.439754736	0.999634334	Achromobacter_insolitus	QJ	increase
Achromobacter_ruhlandii							0	0	0	0	1								Achromobacter_ruhlandii		
Achromobacter_sp._AONIH1	53.5823842619524	0.0993512702720087	0.49414360019116	0.201057486596152	0.840653623913824	0.975792381580531	59.65444751	-0.004061043	0.367964674	-0.011036503	0.991194324	0.997811141	59.91224544	1.076140371	0.928878441	1.158537354	0.246644817	0.954187841	Achromobacter_sp._AONIH1		
Achromobacter_sp._B7	16.1684600872297	0.0709400300548297	0.730646771937877	0.0970921008337272	0.92265325384617		11.48819982	-0.779300171	0.710464663	-1.096888011	0.27269035		33.64398313	0.81582099	0.604742924	1.349037677	0.177324865	0.888176915	Achromobacter_sp._B7		
Achromobacter_sp._MFA1_R4	157.850404078798	-1.11950123921148	0.623131452690066	-1.79657315383228	0.072403409533444	0.48847060922232	80.07835694	-1.859043929	0.669879403	-2.775191952	0.005516914	0.053009178	16.77372534	-1.269809363	1.316491017	-0.964540849	0.334774839	0.999634334	Achromobacter_sp._MFA1_R4	QJ	decrease
Achromobacter_spanius	75.383975600929	-0.0782438515253367	0.277278397799913	-0.282185168935513	0.777801529888909	0.959199629000246	105.9916901	0.114314647	0.229342506	0.498445096	0.618170358	0.825390485	200.15037	-0.052006127	0.275898886	-0.188497054	0.850487025	0.999634334	Achromobacter_spanius		
Achromobacter_xylosoxidans	203.054477053755	-0.400074534445562	0.213427444025703	-1.87452244612638	0.0608584512553257	0.455630819007283	372.0268613	0.056755989	0.184635525	0.307394738	0.758542933	0.906963051	320.1159541	0.011601047	0.245763327	0.047204144	0.962350525	0.999634334	Achromobacter_xylosoxidans		
Acidaminococcus_fermentans	214.207572981261	0.437411045470039	0.233342217207895	1.8745473952548	0.0608550159460734	0.455630819007283	585.8357856	-0.535978278	0.219660354	-2.440031934	0.014685964	0.097773233	191.9502529	0.420613874	0.282603711	1.488352269	0.136658017	0.86191994	Acidaminococcus_fermentans	QJ	decrease
Acidaminococcus_intestini	279.732688193334	0.59439251520599	0.332528324944577	1.7874943895533	0.073857618101594	0.48990257888573	661.8867564	0.167810708	0.324560947	0.517039124	0.605128848	0.816621812	332.6445033	-0.654327427	0.323177796	-2.024667026	0.042901567	0.658727213	Acidaminococcus_intestini		
Acidianus_ambivalens	0.207662380391998	1.31232288443436	2.93475058898181	0.447166750510701	0.654754666384798		2.344000495	-0.782656018	2.335000966	-0.335184452	0.73748595								Acidianus_ambivalens		
Acidianus_brierleyi	9.80396779733716	0.264642107547225	1.2360846144537	0.214097080776453	0.830471352223356		19.5750766	-0.22111718	0.850312501	-0.260042255	0.79483118		88.35491643	-0.203185409	0.33006776	-0.61558696	0.53816716	0.999634334	Acidianus_brierleyi		
Acidianus_hospitalis	0.224293519370988	1.37342746844612	2.93430882335765	0.4680582553252	0.639742930661367		1.432367575	3.929834687	2.642515006	1.487156999	0.13697335								Acidianus_hospitalis		
Acidianus_manzaensis	10.6195551006908	0.525252773877521	1.30954753006222	0.401094852855448	0.688350290263832		17.90874843	-1.652688068	0.818068613	-2.020231606	0.043359369		0.959503183	3.552242828	3.03647944	1.169855715	0.242059038		Acidianus_manzaensis		
Acidianus_sulfidivorans	3.97071813521208	-1.10255213296991	1.8454260666356	-0.597451262287614	0.55020613733447		10.26836757	-1.89175773	1.110890063	-1.702920742	0.088582902		5.836978873	-1.915432755	2.124020621	-0.901795744	0.367165381	0.999634334	Acidianus_sulfidivorans		
Acidibrevibacterium_fodinaquatile	7.30189302861718	-1.0766337176552	1.58380538163088	-0.679776524402614	0.496645973236396		6.691925797	-0.925733037	1.253546431	-0.738491223	0.460215999		20.42663483	0.340431963	0.858675667	0.39646164	0.691764501	0.999634334	Acidibrevibacterium_fodinaquatile		
Acidiferrobacter_sp._SPIII_3	8.74710105405774	-0.456114097283697	1.04743807848241	-0.435456860556895	0.66323084549616		8.71856552	-0.891188069	0.799931544	-1.114080418	0.265244689		13.54126471	-0.197434873	0.545521598	-0.361919442	0.71741223	0.999634334	Acidiferrobacter_sp._SPIII_3		
Acidihalobacter_ferrooxidans	21.7458374605694	-0.979625449920873	0.766263888042491	-1.27844397368567	0.201092927486544		29.40302231	0.224154025	0.336098307	0.666929944	0.504816883		10.89286318	-0.004140077	1.605433169	-0.002578791	0.997942425	0.999634334	Acidihalobacter_ferrooxidans		
Acidihalobacter_prosperus	42.7249589942244	-0.865006781717712	0.380421684877172	-2.27381039542212	0.0229773889591746	0.266087018321555	66.8551712	-0.163455653	0.279942353	-0.583890404	0.55929405	0.785425713	48.70779445	0.039470893	0.228793701	0.172517394	0.863030788	0.999634334	Acidihalobacter_prosperus		
Acidilobus_saccharovorans	0.134980547254798	0.996066129343101	2.9358985855229	0.339271299851693	0.734405361236844		0.34553083	-1.918158566	2.918127805	-0.657325071	0.510971919								Acidilobus_saccharovorans		
Acidilobus_sp._7A	1.90972816458282	-2.47148384840823	2.45250137740608	-1.00774004499122	0.313579275183627		4.497193835	0.179555627	1.533814901	0.11706473	0.906808759								Acidilobus_sp._7A		
Acidimicrobium_ferrooxidans	8.86761665610522	-0.864867822066385	1.06624838885877	-0.811131656660299	0.417290068033004		22.37901351	-0.813588534	0.576859121	-1.410376476	0.158428548		56.55266092	-1.37038481	0.347225353	-3.94667267	7.92e-05	0.009907861	Acidimicrobium_ferrooxidans	mice	decrease
Acidiphilium_cryptum	0	0	0	0	1		0	0	0	0	1		2.278820059	4.786393169	3.017400379	1.586263859			Acidiphilium_cryptum		
Acidiphilium_multivorum	25.1297880920581	-5.8278807287781	2.40343183265227	-2.42481631873322	0.0153161338725149		6.350483422	-2.847329358	1.862174192	-1.529034915	0.126255788								Acidiphilium_multivorum		
Acidipropionibacterium_acidipropionici	27.1366450278899	0.269186539995197	0.672346906135071	0.400368526335003	0.68888510230047		58.0496847	-0.638450758	0.287436456	-2.221189221	0.026338148	0.142784458	92.02915103	0.367019383	0.262274026	1.399373736	0.161700938	0.887309158	Acidipropionibacterium_acidipropionici	QJ	decrease
Acidipropionibacterium_jensenii	18.5500760964985	0.130679404054595	0.627439219991598	0.208274203924238	0.835014872277576		54.70778202	-0.000112236	0.353334479	-0.000317649	0.999746552	0.999746552	69.59477058	0.290954305	0.240189404	1.211353627	0.225759904	0.932005038	Acidipropionibacterium_jensenii		
Acidipropionibacterium_virtanenii	68.6054155020557	-0.192043982640103	0.338950409649137	-0.566584306060869	0.570996640002417	0.902400536822392	82.46497547	0.347148037	0.215958488	1.607475769	0.107950041	0.345586255	14.86560099	0.098446822	1.105345959	0.089064262	0.929030839	0.999634334	Acidipropionibacterium_virtanenii		
Acidisarcina_polymorpha	30.8843843846006	0.868279110331984	0.599062262661846	1.4493971068615	0.147226716180488		16.74582764	0.498324619	0.445304605	1.1190646	0.263112581		139.7685645	-0.181860713	0.258402883	-0.703787477	0.481565134	0.999634334	Acidisarcina_polymorpha		
Acidithiobacillus_caldus	58.9468701604532	-0.100399248194259	0.634574641669376	-0.158215033506758	0.874287357930709	0.979252171059163	59.82882434	0.158543937	0.532960842	0.297477646	0.766101872	0.907138347	34.4308771	0.165994057	0.437730925	0.379214826	0.704528342	0.999634334	Acidithiobacillus_caldus		
Acidithiobacillus_ferridurans	0	0	0	0	1		0	0	0	0	1								Acidithiobacillus_ferridurans		
Acidithiobacillus_ferrivorans	59.4394989780335	-1.11758434201663	0.728095947659041	-1.53494102749763	0.124798314473071	0.589664015428031	48.29081474	-0.711872421	0.501010749	-1.420872552	0.155353814	0.423144918	25.71805279	0.193943231	1.183966929	0.16380798	0.86988231	0.999634334	Acidithiobacillus_ferrivorans		
Acidithiobacillus_ferrooxidans	55.8926679093818	-2.69088071222851	2.00182723865972	-1.34421225781209	0.178879758970015	0.683536376272115	25.38302074	-1.00663251	1.043215002	-0.964932931	0.334578406		44.48134565	-0.150447576	0.6780047	-0.221897541	0.824393644	0.999634334	Acidithiobacillus_ferrooxidans		
Acidithiobacillus_thiooxidans	10.1318569508868	1.01597766277684	1.53470606744344	0.662001463556655	0.507970283726779		11.17610476	1.443420331	1.284517199	1.123706504	0.261137556		35.13084186	-0.01899464	0.290541352	-0.065376717	0.947874061	0.999634334	Acidithiobacillus_thiooxidans		
Acidobacterium_capsulatum	99.6141662914243	-0.843280525431798	0.433727770437942	-1.94426223753283	0.0518638359488033	0.425561296758484	97.92235631	-0.983781283	0.369490471	-2.662534926	0.007755452	0.066395092	162.9481255	-0.335224225	0.297866365	-1.125418187	0.260411868	0.971493891	Acidobacterium_capsulatum	QJ	decrease
Acidothermus_cellulolyticus	6.24023249840528	-0.38353619717285	1.24805425937658	-0.30730730999182	0.758609472157409		26.61635241	-0.160213001	0.775631866	-0.206558044	0.836355029		10.74619804	0.234797688	1.333874465	0.176026826	0.860272867	0.999634334	Acidothermus_cellulolyticus		
Acidovorax_avenae	83.6054131990505	-0.791442278426802	0.457011499321908	-1.73177760209778	0.0833131675194079	0.508736218939108	79.61294274	-0.674656099	0.304508455	-2.215557849	0.026721798	0.143705319	94.90704757	0.603529964	0.33999313	1.775123996	0.075877416	0.785515139	Acidovorax_avenae	QJ	decrease
Acidovorax_carolinensis	23.7222507848431	-0.216452325116036	1.16870274891157	-0.18520733806575	0.853066413719426		9.9393264	-1.570457124	1.2606046	-1.245796758	0.21283902		60.13344295	-0.073857225	0.333522534	-0.221445981	0.824745193	0.999634334	Acidovorax_carolinensis		
Acidovorax_cattleyae	17.5340255864878	-1.57340140033887	1.32036050402944	-1.19164530863897	0.233400351242418		3.95166831	-2.80187217	1.581599892	-1.77154297	0.076470454		23.53575945	0.612425643	1.49066927	0.410839383	0.681190313	0.999634334	Acidovorax_cattleyae		
Acidovorax_citrulli	13.3413543766146	-0.270900348365898	1.210289412201	-0.223831048702018	0.822888769470292		15.50005729	0.296138001	0.83629254	0.354108146	0.723257838		43.05555212	0.408162637	0.622307046	0.655886253	0.511897314	0.999634334	Acidovorax_citrulli		
Acidovorax_ebreus	4.47735754880297	-1.73378526723458	2.84855825288728	-0.608653611165307	0.542754061143608		13.37379693	-1.004432899	1.374789716	-0.730608388	0.465018387		46.16141452	-3.427345316	2.159203266	-1.587319439	0.112440315	0.852753584	Acidovorax_ebreus		
Acidovorax_sp._1608163	25.3647393535466	0.411834908741114	0.67438724761497	0.61068015475916	0.54141134657201		11.32685103	-0.767368202	0.699601141	-1.096865281	0.272700288		139.3243799	0.051358218	0.325369265	0.157845943	0.874578195	0.999634334	Acidovorax_sp._1608163		
Acidovorax_sp._JS42	58.4053811264633	0.787041562482079	1.31403627706817	0.598949645620208	0.549206463836811	0.895821304413161	0	0	0	0	1		61.60994713	0.237906471	2.887351948	0.082396076	0.934331756	0.999634334	Acidovorax_sp._JS42		
Acidovorax_sp._KKS102	19.3291805303719	-1.22264587869368	0.897686262714896	-1.36199686847831	0.17319887339383		17.71822852	-0.620743288	0.72326671	-0.858249494	0.390754712		37.45302065	-1.058247032	0.859079482	-1.231838326	0.218009483	0.922861145	Acidovorax_sp._KKS102		
Acidovorax_sp._RAC01	60.3918738725983	-1.78578786594642	0.844378651893751	-2.11491356625525	0.0344373147211679	0.349700466616059	50.44517662	-0.951971693	0.562525195	-1.69231832	0.090585297	0.310661829	50.08181362	-0.498129271	1.229930278	-0.405006105	0.685473024	0.999634334	Acidovorax_sp._RAC01		
Acidovorax_sp._T1	47.6957899575057	-0.594941668278667	1.10845958840198	-0.536728334080603	0.591455281248204	0.913724156886216	41.95373281	0.161600789	0.706347199	0.22878379	0.819036967		33.31275937	-0.781451564	2.342090696	-0.333655552	0.738639493	0.999634334	Acidovorax_sp._T1		
Aciduliprofundum_boonei	3.10870932996866	0.0279667387182919	2.12598428939784	0.0131547250173769	0.989504350714304		5.927488294	-0.053561884	1.129250412	-0.047431361	0.962169435								Aciduliprofundum_boonei		
Aciduliprofundum_sp._MAR08-339	11.9823702302032	-0.620549936066544	1.14628681909527	-0.541356600921511	0.588261814476853		6.907409117	0.369753741	1.181079288	0.313064284	0.754231824								Aciduliprofundum_sp._MAR08-339		
Acinetobacter_baumannii	308.519410025289	0.00234771808986983	0.350037451496315	0.00670704828821596	0.994648589844052	0.996954459509498	339.9039746	0.300133942	0.238914741	1.256238694	0.209029442	0.49435463	2245.99398	-1.542978735	0.859040519	-1.796165257			Acinetobacter_baumannii		
Acinetobacter_baylyi	58.5778430563639	-0.179160061003091	0.762289851530062	-0.235028789434206	0.814186388251256	0.971995882037596	31.17930026	0.693400117	0.581417619	1.192602519	0.233025079		4.040829846	0.494260284	2.698319927	0.183173344	0.854662009	0.999634334	Acinetobacter_baylyi		
Acinetobacter_bereziniae	35.7686240619193	0.613305623686912	0.777414830338479	0.788903941310052	0.430168151968903		37.38679153	0.098722876	0.454455593	0.217233273	0.828026556		5.53800547	-0.529595653	1.847196705	-0.286702359	0.774340231	0.999634334	Acinetobacter_bereziniae		
Acinetobacter_calcoaceticus	15.9092962052526	-0.0937229920454885	0.774808509066295	-0.120962781059842	0.903720515080228		13.28602882	-0.146224081	0.707307069	-0.206733522	0.836217976		122.9058494	-0.002216773	0.324193812	-0.006837801	0.994544267	0.999634334	Acinetobacter_calcoaceticus		
Acinetobacter_chinensis	0.40254812134583	-0.0949332355858944	2.93236268263819	-0.0323743158197897	0.97417354475509		1.033316459	-0.963935085	2.910292581	-0.331215869	0.740481435								Acinetobacter_chinensis		
Acinetobacter_cumulans	30.7529505587711	0.231738845326005	0.538741563311545	0.430148444277343	0.667087662232418		38.70462894	0.5719287	0.444455264	1.286808249	0.198161131		82.35716532	-0.443723045	0.50957483	-0.870771119	0.383879138	0.999634334	Acinetobacter_cumulans		
Acinetobacter_defluvii	11.0769313402146	0.245830675953999	1.19571700863831	0.205592689723425	0.837109088300938		15.39039972	0.085557919	0.97271568	0.087957788	0.929910226		1.748877436	4.402516893	3.021716777	1.456958814			Acinetobacter_defluvii		
Acinetobacter_dispersus	9.10659126015779	1.07069591546226	1.22891106137099	0.871255820797793	0.383614487081835		7.070107843	0.286193181	1.199058323	0.238681618	0.811352471		0.726630581	-2.850519209	3.039081711	-0.937954119	0.348267989		Acinetobacter_dispersus		
Acinetobacter_equi	8.54287076588023	0.111003689346217	0.962627414428923	0.115313243402765	0.908196841669237		10.50658589	-0.5812693	0.898939542	-0.646616678	0.517880061		3.509397605	-5.117821723	2.853989798	-1.793216544	0.072938306	0.77785969	Acinetobacter_equi		
Acinetobacter_guillouiae	14.0898679809221	-1.2644640979438	0.869187114210212	-1.45476627215391	0.14573397847569		14.79367458	0.438379211	0.613790257	0.714216633	0.475093233		13.5077213	-0.63771537	1.62534649	-0.392356568	0.694794772	0.999634334	Acinetobacter_guillouiae		
Acinetobacter_gyllenbergii	15.981758842616	-1.02077219374118	0.906339711476847	-1.12625782674564	0.260056403130533		25.15795715	-0.041194551	0.524137416	-0.078594944	0.937354809		6.851820554	-1.415475521	1.806978038	-0.78333853	0.433428343	0.999634334	Acinetobacter_gyllenbergii		
Acinetobacter_haemolyticus	100.066822085552	-0.391566227079327	0.291240978542534	-1.34447504275962	0.178794821551518	0.683536376272115	118.047539	-0.175051954	0.239945601	-0.729548503	0.46566621	0.720392861	15.18192008	-1.551118739	1.545506252	-1.003631488	0.315556271	0.994569322	Acinetobacter_haemolyticus		
Acinetobacter_indicus	61.7660586936752	0.246906298775675	0.354726127583052	0.696047681793235	0.486398969333246	0.868613954891914	60.02855048	-0.024767929	0.277991068	-0.089096131	0.929005512	0.979941243	59.8650024	-0.266729603	0.311782231	-0.855499694	0.392274574	0.999634334	Acinetobacter_indicus		
Acinetobacter_johnsonii	204.094695795369	-1.00385415648289	0.510568605764209	-1.96614939725944	0.0492813557705888	0.409860325368065	171.0942485	-1.030598547	0.37490115	-2.748987426	0.005977968	0.055939179	7.204178835	-6.157661311	2.657200652	-2.317349014	0.020484727	0.493075765	Acinetobacter_johnsonii	QJ	decrease
Acinetobacter_junii	90.173853924402	0.393545846178015	0.535174702819318	0.735359582776993	0.462120529890136	0.858824604588544	64.88248635	0.254533091	0.269193715	0.945538757	0.344383894	0.618191962	19.03508661	-0.228048429	1.108849818	-0.205662143	0.837054832	0.999634334	Acinetobacter_junii		
Acinetobacter_lactucae	0.234026401471412	-1.53304770735089	2.93274834447807	-0.522734148068789	0.601159271255337		3.116378046	1.840920001	1.540438796	1.195062085	0.232062774								Acinetobacter_lactucae		
Acinetobacter_larvae	13.7408150997251	0.114466568879064	0.747502383237383	0.153132045390032	0.878294145326659		12.7249187	0.009521206	0.629303005	0.015129765	0.987928655		19.88581898	-0.755859324	0.504986588	-1.49679089	0.134447678	0.86191994	Acinetobacter_larvae		
Acinetobacter_lwoffii	49.8205495113104	-0.370889378280696	0.610640937557328	-0.607377192502552	0.543600620869893	0.893342189807149	78.25963909	-0.677462403	0.338389264	-2.002020975	0.045282476	0.207444174	144.4242563	-0.345007736	0.396587613	-0.869940778	0.384332769	0.999634334	Acinetobacter_lwoffii		
Acinetobacter_nosocomialis	50.8401300977055	-0.183996136972039	0.480613500404211	-0.38283597280828	0.701841387280828	0.94489219709958	45.36503661	-0.398332843	0.397714077	-1.001555805	0.316558175	0.599090584	29.68467953	-0.269004003	0.761956668	-0.353043702	0.724055678	0.999634334	Acinetobacter_nosocomialis		
Acinetobacter_oleivorans	0.124597428235199	0.946693734606353	2.93596325866566	0.322447405229658	0.747113776131492		1.086606998	0.7767952	2.606120099	0.298065772	0.765652965		3.333501792	-0.740213612	2.92541636	-0.253028465	0.800246217	0.999634334	Acinetobacter_oleivorans		
Acinetobacter_pittii	57.9443834918194	-0.110089811260734	0.509021662123314	-0.216277261760353	0.828771632119646	0.971995882037596	65.56297873	-0.288523884	0.278943182	-1.034346428	0.30097424	0.585846977	53.81824899	-0.068576669	1.00866153	-0.067987791	0.945795354	0.999634334	Acinetobacter_pittii		
Acinetobacter_radioresistens	141.340316292019	-0.987965261949848	0.41712778146976	-2.36849547270318	0.0178605989747556	0.238385991497141	85.76155742	-0.657999022	0.358819127	-1.833790265	0.066685133	0.260678248	42.71094736	-0.390216706	0.257078489	-1.51788937	0.12904229	0.86191994	Acinetobacter_radioresistens		
Acinetobacter_schindleri	63.6099424804237	0.437830749632723	0.34131986104466	1.28275790425051	0.199576906373916	0.7013592117776	139.5384462	-1.006222071	0.323647751	-3.109003749	0.001877193	0.026704134	64.93424242	-0.007119579	0.319852724	-0.022258929	0.982241411	0.999634334	Acinetobacter_schindleri	QJ	decrease
Acinetobacter_soli	5.42567616650855	-1.94363420678225	1.62566716180912	-1.19559172531927	0.231855922125316		5.600791925	-0.385993942	1.085611092	-0.35555453	0.722174201		20.14955555	-0.540381011	1.029242649	-0.525027807	0.59956386	0.999634334	Acinetobacter_soli		
Acinetobacter_sp._ACNIH1	11.3173190719336	-0.518800875367492	1.55601050209024	-0.333417335339685	0.738819279354662		5.710389909	-0.215840629	1.383162634	-0.156048626	0.875994693		13.88157974	-1.097922406	1.301608216	-0.843512197	0.398942047	0.999634334	Acinetobacter_sp._ACNIH1		
Acinetobacter_sp._ACNIH2	20.2224476214732	-0.32779000456633	0.839011049834829	-0.390686159176163	0.696029230764035		27.13035535	0.386524923	0.494004224	0.782432425	0.433960484		9.429996273	1.064925317	2.253426065	0.472580545	0.636512465	0.999634334	Acinetobacter_sp._ACNIH2		
Acinetobacter_sp._C16S1	6.61025594239861	-1.49436874220719	1.48795084541858	-1.00431324516423	0.31522765137778		15.66874478	-0.800302723	0.84470964	-0.947429371	0.34342003		12.74343183	-0.758497299	1.623209551	-0.467282428	0.640297827	0.999634334	Acinetobacter_sp._C16S1		
