id	name	ID	to	FC	log2FC	|log2FC|	p	lgP	Super.Class	from	tgt_proteins_lgpadj	ss_metabolites_lgpadj	co_metabolites_lgpadj
66	name66	HMDB0034240	Styrene	1.691807924	0.758565784	0.758565784	0.0341	1.467245621	Benzenoids	P	0	4.540257435	41.6358609
67	name67	HMDB0002725	Nandrolone	1.716906892	0.779811804	0.779811804	0.0352	1.453457337	Lipids and lipid-like molecules	P	11.47231522	49.81113619	41.6358609
68	name68	HMDB0001008	Biliverdin	1.727777661	0.788917576	0.788917576	0.0319	1.496209317	Organoheterocyclic compounds	P	0	4.848440845	14.38176696
69	name69	HMDB0038824	Hypoletin 8-gentiobioside	1.743807968	0.802241176	0.802241176	0.0253	1.596879479	Phenylpropanoids and polyketides	P	0	8.084434733	42.11505243
70	name70	HMDB0033112	Methylpyrazine	1.752003081	0.809005312	0.809005312	0.0294	1.53165267	Organoheterocyclic compounds	P	0	1.484133064	30.19110433
71	name71	HMDB0039020	HMDB0039020	1.761842321	0.817084814	0.817084814	0.0358	1.446116973	Lipids and lipid-like molecules	P	0	0	42.11505243
72	name72	HMDB0039685	8-Ocimenyl acetate	1.784531812	0.83554562	0.83554562	0.036	1.443697499	Lipids and lipid-like molecules	P	0	0	41.6358609
73	name73	HMDB0060666	Endoxifen	1.791524791	0.841188008	0.841188008	0.0488	1.311580178	Phenylpropanoids and polyketides	P	0	14.23685689	2.673457776
74	name74	HMDB0040765	HMDB0040765	1.793091918	0.842449446	0.842449446	0.0342	1.465973894	Lipids and lipid-like molecules	P	0	0	42.11505243
75	name75	HMDB0000946	Ursodeoxycholic acid	1.883004453	0.913036412	0.913036412	0.0192	1.716698771	Lipids and lipid-like molecules	P	0	21.5303826	41.6358609
76	name76	HMDB0033939	Domoic acid	1.905417302	0.930106994	0.930106994	0.0242	1.616184634	Organic acids and derivatives	P	0	0	14.38176696
77	name77	HMDB0003152	N-Methylnicotinamide	1.913115282	0.935923812	0.935923812	0.0225	1.647817482	Organoheterocyclic compounds	P	0	2.621874687	14.38176696
78	name78	HMDB0032395	"2-Methyl-1,3-cyclohexadiene"	1.9223855	0.942897671	0.942897671	0.012	1.920818754	Others	P	0	0	41.6358609
79	name79	HMDB0034392	Perulactone	1.967474839	0.976345186	0.976345186	0.0319	1.496209317	Lipids and lipid-like molecules	P	0	0	0.971600879
80	name80	HMDB0041886	Enalaprilat	2.048215519	1.034367528	1.034367528	0.0274	1.562249437	Organic acids and derivatives	P	14.83233935	5.598204094	14.38176696
81	name81	HMDB0029333	Amphibine H	2.081027088	1.057295744	1.057295744	0.027	1.568636236	Organic acids and derivatives	P	0	0	14.38176696
82	name82	HMDB0035506	Schidigeragenin B	2.263154435	1.178335036	1.178335036	0.0128	1.89279003	Lipids and lipid-like molecules	P	0	0	9.615245308
83	name83	HMDB0010382	LysoPC(16:0)	2.415904396	1.272563364	1.272563364	0.00847	2.07211659	Lipids and lipid-like molecules	P	0	0	0.971600879
84	name84	HMDB0039148	Ganodosterone	2.662269951	1.412656866	1.412656866	0.0298	1.525783736	Lipids and lipid-like molecules	P	0	55.91932485	9.615245308
85	name85	HMDB0012097	SM(d18:1/14:0)	2.987594007	1.578984109	1.578984109	0.0416	1.380906669	Lipids and lipid-like molecules	P	0	0	0
86	name86	HMDB0032967	"2,4-Dimethyl-1H-indole"	3.061375692	1.614180103	1.614180103	0.0393	1.40560745	Organoheterocyclic compounds	P	0	0	41.6358609
87	name87	HMDB0032568	2'-Hydroxyacetophenone	3.118222269	1.640723768	1.640723768	0.0119	1.924453039	Benzenoids	P	0	4.007434466	16.09520805
88	name88	HMDB0000222	L-Palmitoylcarnitine	3.636330707	1.862483412	1.862483412	0.0245	1.610833916	Lipids and lipid-like molecules	P	0	0	0
89	name89	HMDB0030008	d-Tocotrienol	3.799143622	1.925674252	1.925674252	0.0279	1.554395797	Lipids and lipid-like molecules	P	0	5.913915117	41.6358609
90	name90	HMDB0006831	3-Dehydroxycarnitine	3.975076179	1.990982509	1.990982509	0.0329	1.482804102	Lipids and lipid-like molecules	P	0	0	42.98658526
91	name91	HMDB0036356	[12]-Gingerol	3.996153241	1.998611907	1.998611907	0.0209	1.679853714	Benzenoids	P	0	5.913915117	41.6358609
92	name92	HMDB0041569	2-Ethyl-6-methylpyrazine	4.486897242	2.165718144	2.165718144	0.019	1.721246399	Organoheterocyclic compounds	P	0	1.484133064	0
93	name93	HMDB0060677	"2,6-Dimethylaniline"	5.333746071	2.415149143	2.415149143	0.026	1.585026652	Benzenoids	P	0	0	0
94	name94	HMDB0006317	HMDB0006317	5.477739962	2.45358078	2.45358078	0.00896	2.04769199	Lipids and lipid-like molecules	P	0	0	0
95	name95	HMDB0062320	HMDB0062320	24.5679234	4.618704014	4.618704014	0.0277	1.557520231	Lipids and lipid-like molecules	P	0	7.997155787	30.19110433
